id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,222,ORANG,2021
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,130,ORANG,2021
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,244,ORANG,2021
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,239,ORANG,2021
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67,ORANG,2021
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,ORANG,2021
100,32,JAWA BARAT,3271,KOTA BOGOR,333,ORANG,2021
101,32,JAWA BARAT,3272,KOTA SUKABUMI,43,ORANG,2021
102,32,JAWA BARAT,3273,KOTA BANDUNG,43,ORANG,2021
103,32,JAWA BARAT,3274,KOTA CIREBON,254,ORANG,2021
104,32,JAWA BARAT,3275,KOTA BEKASI,390,ORANG,2021
105,32,JAWA BARAT,3276,KOTA DEPOK,199,ORANG,2021
106,32,JAWA BARAT,3277,KOTA CIMAHI,342,ORANG,2021
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,99,ORANG,2021
108,32,JAWA BARAT,3279,KOTA BANJAR,40,ORANG,2021
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,751,ORANG,2022
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,177,ORANG,2022
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,219,ORANG,2022
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,502,ORANG,2022
113,32,JAWA BARAT,3205,KABUPATEN GARUT,212,ORANG,2022
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86,ORANG,2022
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,106,ORANG,2022
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165,ORANG,2022
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,340,ORANG,2022
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,168,ORANG,2022
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,149,ORANG,2022
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,592,ORANG,2022
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,289,ORANG,2022
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,174,ORANG,2022
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,414,ORANG,2022
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,563,ORANG,2022
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,174,ORANG,2022
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,39,ORANG,2022
127,32,JAWA BARAT,3271,KOTA BOGOR,408,ORANG,2022
128,32,JAWA BARAT,3272,KOTA SUKABUMI,165,ORANG,2022
129,32,JAWA BARAT,3273,KOTA BANDUNG,1135,ORANG,2022
130,32,JAWA BARAT,3274,KOTA CIREBON,346,ORANG,2022
131,32,JAWA BARAT,3275,KOTA BEKASI,906,ORANG,2022
132,32,JAWA BARAT,3276,KOTA DEPOK,321,ORANG,2022
133,32,JAWA BARAT,3277,KOTA CIMAHI,164,ORANG,2022
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,192,ORANG,2022
135,32,JAWA BARAT,3279,KOTA BANJAR,55,ORANG,2022
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,830,ORANG,2023
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,294,ORANG,2023
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,211,ORANG,2023
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,534,ORANG,2023
140,32,JAWA BARAT,3205,KABUPATEN GARUT,251,ORANG,2023
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,89,ORANG,2023
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,112,ORANG,2023
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165,ORANG,2023
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,364,ORANG,2023
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,259,ORANG,2023
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,123,ORANG,2023
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,573,ORANG,2023
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,351,ORANG,2023
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,189,ORANG,2023
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,534,ORANG,2023
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,826,ORANG,2023
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,186,ORANG,2023
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,54,ORANG,2023
154,32,JAWA BARAT,3271,KOTA BOGOR,438,ORANG,2023
155,32,JAWA BARAT,3272,KOTA SUKABUMI,215,ORANG,2023
156,32,JAWA BARAT,3273,KOTA BANDUNG,1059,ORANG,2023
157,32,JAWA BARAT,3274,KOTA CIREBON,312,ORANG,2023
158,32,JAWA BARAT,3275,KOTA BEKASI,857,ORANG,2023
159,32,JAWA BARAT,3276,KOTA DEPOK,467,ORANG,2023
160,32,JAWA BARAT,3277,KOTA CIMAHI,183,ORANG,2023
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,173,ORANG,2023
162,32,JAWA BARAT,3279,KOTA BANJAR,61,ORANG,2023
